person_id,date,start,end,note
p01,2026-11-04,11:00,22:00,毎週水曜は習い事があって入れません
p01,2026-11-06,11:00,22:00,
p01,2026-11-12,16:00,22:00,夜のみ可
p01,2026-11-13,11:00,22:00,
p01,2026-11-14,11:00,22:00,夜のみ可
p01,2026-11-15,11:00,15:00,
p01,2026-11-17,11:00,17:00,
p01,2026-11-18,11:00,17:00,
p01,2026-11-23,11:00,22:00,
p01,2026-11-24,11:00,22:00,
p01,2026-11-25,16:00,22:00,ラストまでOK
p01,2026-11-30,11:00,22:00,
p02,2026-11-01,16:00,22:00,毎週水曜は大学の授業で入れません
p02,2026-11-02,16:00,22:00,
p02,2026-11-05,11:00,22:00,
p02,2026-11-06,11:00,17:00,
p02,2026-11-07,11:00,15:00,
p02,2026-11-08,11:00,17:00,
p02,2026-11-13,11:00,15:00,
p02,2026-11-15,16:00,22:00,通院のため午前は不可
p02,2026-11-18,16:00,22:00,
p02,2026-11-20,11:00,17:00,
p02,2026-11-21,11:00,17:00,ランチだけ手伝えます
p02,2026-11-22,11:00,17:00,
p02,2026-11-27,11:00,22:00,通院のため午前は不可
p03,2026-11-02,11:00,22:00,12/10〜20が試験期間なので極力入れないでください
p03,2026-11-07,16:00,22:00,
p03,2026-11-08,11:00,15:00,ラストまでOK
p03,2026-11-10,11:00,22:00,
p03,2026-11-17,18:00,22:00,
p03,2026-11-19,16:00,22:00,
p03,2026-11-20,16:00,22:00,
p03,2026-11-21,11:00,17:00,
p03,2026-11-23,11:00,22:00,
p03,2026-11-26,11:00,15:00,夜のみ可
p03,2026-11-27,18:00,22:00,この日は3時間だけ
p04,2026-11-02,11:00,17:00,22時以降のシフトは月3回までにしてほしいです
p04,2026-11-03,11:00,17:00,
p04,2026-11-04,11:00,15:00,
p04,2026-11-07,11:00,15:00,
p04,2026-11-09,11:00,22:00,
p04,2026-11-13,11:00,22:00,
p04,2026-11-14,11:00,15:00,
p04,2026-11-16,11:00,22:00,この日は3時間だけ
p04,2026-11-18,11:00,22:00,昼過ぎから入りたい
p04,2026-11-21,16:00,22:00,この日は3時間だけ
p04,2026-11-23,18:00,22:00,
p04,2026-11-28,11:00,22:00,18時までに上がりたい
p05,2026-11-01,16:00,22:00,
p05,2026-11-02,11:00,15:00,
p05,2026-11-03,11:00,22:00,
p05,2026-11-06,16:00,22:00,できれば早番
p05,2026-11-10,11:00,17:00,お迎えがあるので17時まで
p05,2026-11-11,16:00,22:00,オープンだけ入れます
p05,2026-11-12,16:00,22:00,
p05,2026-11-15,18:00,22:00,テスト期間中なので短めに
p05,2026-11-19,16:00,22:00,ラストまでOK
p05,2026-11-21,11:00,15:00,
p05,2026-11-24,16:00,22:00,18時までに上がりたい
p05,2026-11-25,11:00,17:00,お迎えがあるので17時まで
p05,2026-11-27,11:00,15:00,
p05,2026-11-28,11:00,22:00,
p05,2026-11-29,11:00,22:00,
p06,2026-11-01,16:00,22:00,
p06,2026-11-02,11:00,22:00,
p06,2026-11-03,11:00,15:00,
p06,2026-11-04,11:00,15:00,できれば早番
p06,2026-11-05,11:00,22:00,
p06,2026-11-06,11:00,22:00,18時までに上がりたい
p06,2026-11-07,11:00,22:00,
p06,2026-11-10,11:00,22:00,
p06,2026-11-12,11:00,17:00,この日は3時間だけ
p06,2026-11-16,18:00,22:00,
p06,2026-11-17,11:00,17:00,ラストまでOK
p06,2026-11-18,11:00,17:00,
p06,2026-11-19,16:00,22:00,
p06,2026-11-20,11:00,22:00,
p06,2026-11-21,11:00,22:00,
p06,2026-11-23,11:00,22:00,できれば早番
p06,2026-11-24,11:00,22:00,
p06,2026-11-25,11:00,22:00,
p06,2026-11-26,16:00,22:00,
p06,2026-11-28,11:00,22:00,できれば早番
p06,2026-11-29,11:00,17:00,
p07,2026-11-03,16:00,22:00,
p07,2026-11-05,16:00,22:00,この日は遅番希望
p07,2026-11-07,11:00,22:00,
p07,2026-11-09,11:00,15:00,この日は遅番希望
p07,2026-11-11,11:00,17:00,
p07,2026-11-14,11:00,22:00,お迎えがあるので17時まで
p07,2026-11-20,11:00,22:00,
p07,2026-11-23,11:00,22:00,昼過ぎから入りたい
p07,2026-11-24,11:00,17:00,
p07,2026-11-26,11:00,22:00,
p07,2026-11-29,16:00,22:00,この日は遅番希望
p07,2026-11-30,11:00,22:00,
p08,2026-11-04,11:00,22:00,
p08,2026-11-06,11:00,17:00,
p08,2026-11-07,11:00,22:00,
p08,2026-11-12,11:00,22:00,この日は3時間だけ
p08,2026-11-16,18:00,22:00,ラストまでOK
p08,2026-11-17,11:00,17:00,
p08,2026-11-20,11:00,15:00,
p08,2026-11-24,11:00,22:00,オープンだけ入れます
p08,2026-11-26,16:00,22:00,
p08,2026-11-29,16:00,22:00,
