id,name,role_id,skill_ids
p01,スタッフ01,r_leader,sk_cashier
p02,スタッフ02,r_senior,sk_kitchen
p03,スタッフ03,r_senior,sk_kitchen
p04,スタッフ04,r_senior,sk_close;sk_bar
p05,スタッフ05,r_senior,sk_cashier;sk_bar;sk_open
p06,スタッフ06,r_general,sk_open;sk_kitchen;sk_close
p07,スタッフ07,r_general,sk_close;sk_kitchen
p08,スタッフ08,r_general,sk_cashier
p09,スタッフ09,r_general,sk_open;sk_kitchen
p10,スタッフ10,r_general,sk_open;sk_bar
p11,スタッフ11,r_general,sk_bar;sk_close;sk_cashier
p12,スタッフ12,r_general,sk_bar
p13,スタッフ13,r_general,sk_bar;sk_close
p14,スタッフ14,r_general,sk_close;sk_kitchen;sk_open
p15,スタッフ15,r_general,sk_close;sk_bar;sk_open
p16,スタッフ16,r_general,sk_close;sk_kitchen
p17,スタッフ17,r_general,sk_kitchen;sk_close;sk_bar
p18,スタッフ18,r_general,sk_open
p19,スタッフ19,r_general,sk_open;sk_bar;sk_close
p20,スタッフ20,r_general,sk_open;sk_kitchen
p21,スタッフ21,r_general,sk_open;sk_close;sk_bar
p22,スタッフ22,r_general,sk_close;sk_open;sk_bar
p23,スタッフ23,r_newbie,sk_bar
p24,スタッフ24,r_newbie,
p25,スタッフ25,r_newbie,sk_bar
p26,スタッフ26,r_newbie,sk_kitchen
p27,スタッフ27,r_newbie,
p28,スタッフ28,r_newbie,
p29,スタッフ29,r_newbie,
p30,スタッフ30,r_newbie,sk_close
